locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFFOGOJP_00001	tRNA	77				tRNA-Pro(tgg)
IFFOGOJP_00002	tRNA	76				tRNA-Ala(tgc)
IFFOGOJP_00003	tRNA	77				tRNA-Ile(gat)
IFFOGOJP_00004	rRNA	88				5S ribosomal RNA (partial)
IFFOGOJP_00005	tRNA	75				tRNA-Asn(gtt)
IFFOGOJP_00006	tRNA	73				tRNA-Thr(ggt)
IFFOGOJP_00007	tRNA	75				tRNA-Gly(gcc)
IFFOGOJP_00008	tRNA	77				tRNA-Arg(acg)
IFFOGOJP_00009	rRNA	89				5S ribosomal RNA (partial)
IFFOGOJP_00010	rRNA	83				5S ribosomal RNA (partial)
IFFOGOJP_00011	tRNA	76				tRNA-Val(tac)
IFFOGOJP_00012	tRNA	77				tRNA-Pro(tgg)
IFFOGOJP_00013	tRNA	76				tRNA-Ala(tgc)
IFFOGOJP_00014	rRNA	89				5S ribosomal RNA (partial)
IFFOGOJP_00015	tRNA	77				tRNA-Arg(acg)
IFFOGOJP_00016	tRNA	86				tRNA-Leu(taa)
IFFOGOJP_00017	tRNA	75				tRNA-Gly(gcc)
IFFOGOJP_00018	tRNA	82				tRNA-Leu(tag)
IFFOGOJP_00019	tRNA	76				tRNA-Lys(ttt)
IFFOGOJP_00020	tRNA	76				tRNA-Thr(tgt)
IFFOGOJP_00021	tRNA	77				tRNA-Arg(acg)
IFFOGOJP_00022	tRNA	77				tRNA-Pro(tgg)
IFFOGOJP_00023	rRNA	111				5S ribosomal RNA
IFFOGOJP_00024	rRNA	111				5S ribosomal RNA
IFFOGOJP_00025	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
IFFOGOJP_00026	CDS	225				hypothetical protein
IFFOGOJP_00027	CDS	597	recR		COG0353	Recombination protein RecR
IFFOGOJP_00028	CDS	324			COG0718	Nucleoid-associated protein
IFFOGOJP_00029	CDS	1692				hypothetical protein
IFFOGOJP_00030	CDS	483	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
IFFOGOJP_00031	CDS	552	entB	6.3.2.14	COG1535	Enterobactin synthase component B
IFFOGOJP_00032	CDS	1281	sleL	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
IFFOGOJP_00033	CDS	624	dgk	2.7.1.113	COG1428	Deoxyguanosine kinase
IFFOGOJP_00034	CDS	654	dck	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
IFFOGOJP_00035	tRNA	93				tRNA-Ser(tga)
IFFOGOJP_00036	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
IFFOGOJP_00037	CDS	1278	serS	6.1.1.11		Serine--tRNA ligase
IFFOGOJP_00038	CDS	591	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
IFFOGOJP_00039	CDS	885	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
IFFOGOJP_00040	CDS	1332	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
IFFOGOJP_00041	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
IFFOGOJP_00042	CDS	990				hypothetical protein
IFFOGOJP_00043	rRNA	88				5S ribosomal RNA (partial)
IFFOGOJP_00044	rRNA	423				16S ribosomal RNA (partial)
IFFOGOJP_00045	rRNA	111				5S ribosomal RNA
IFFOGOJP_00046	rRNA	712				16S ribosomal RNA (partial)
IFFOGOJP_00047	CDS	765				hypothetical protein
IFFOGOJP_00048	CDS	597				hypothetical protein
IFFOGOJP_00049	CDS	558	gerD			Spore germination protein GerD
